name;symbol;isincode;marketIdentificationCode
Body One SA;MLONE;FR0010106039;XPAR
Boiron SA;BOI;FR0000061129;XPAR
Boliden AB;BOL;SE0012455673;XSTO
Bollore SA;BOL;FR0000039299;XPAR
Bolsas y Mercados Espanoles SA;ES340113;ES0115056139;XMAD
Bonduelle;BON;FR0000063935;XPAR
Bone Therapeutics;BOTHE;BE0974280126;XBRU
Bonheur ASA;BON;NO0003110603;XOSL
Boostheat;BOOST;FR0011814938;XPAR
Borussia Dortmund GmbH & Co KGaA;DU301687;DE0005493092;XETR
Boskalis;BOKA;NL0000852580;XAMS
Bourbon Corp;GBB;FR0004548873;XPAR
Bourse Direct;FR310485;FR0000074254;XPAR
Bouygues SA;EN;FR0000120503;XPAR
BowLeven PLC;GB400614;GB00B04PYL99;XLON
BP PLC;DU300976;GB0007980591;XETR
BPER Banca;BPE;IT0000066123;MTAA
Bpost SA;BPOST;BE0974268972;XBRU
Braemer Shipping Services PLC;GB400684;GB0000600931;XLON
Brederode SA;BREB;LU1068091351;XBRU
Brembo SpA;BRE;IT0005252728;MTAA
Brenntag AG;BNR;DE000A1DAHH0;XETR
Brickability Group PLC;BRCK;GB00BK63S759;XLON
Bricorama SA;ALBOU;FR0000054421;XPAR
Brill, Koninklijke;44252;NL0000442523;XAMS
British American Tobacco PLC;BMT;GB0002875804;XETR
Britvic PLC;GB400466;GB00B0N8QD54;XLON
Brunel International;BRNL;NL0010776944;XAMS
Brunello Cucinelli SpA;BC;IT0004764699;MTAA
BT Group PLC;BT/A;GB0030913577;XLON
Bulten AB;BULTEN;SE0003849223;XSTO
Bunzl PLC;BNZL;GB00B0744B38;XLON
Burberry Group PLC;BRBY;GB0031743007;XLON
Bureau Veritas SA;BVI;FR0006174348;XPAR
Burelle SA;FR312157;FR0000061137;XPAR
Business & Decision;BND;FR0000078958;XPAR
Buzzi Unicem SpA;BZU;IT0001347308;MTAA
Byggma ASA;BMA;NO0003087603;XOSL
Byggmax Group AB;BMAX;SE0003303627;XSTO
ByggPartner i Dalarna Holding AB;BYGGP;SE0009242324;XSTO
Cafom SA.;CAFO;FR0010151589;XPAR
Cairn Energy PLC;GB401085;GB00B74CDH82;XLON
Caisse Reg. de Cr. Agr. Mut. Alpes Prov.;CRAP;FR0000044323;XPAR
CaixaBank;CABK;ES0140609019;XMAD
Caleffi SpA;CLF;IT0003025019;MTAA
Caltagirone Editore;CED;IT0001472171;MTAA
Caltagirone SpA;IT390396;IT0003127930;MTAA
Camellia PLC;GB400290;GB0001667087;XLON
Campine SA;320165;BE0003825420;XBRU
CANCOM SE;COK;DE0005419105;XETR
Capelli;CAPLI;FR0012969095;XPAR
Capgemini SA;CP1;FR0000125338;XPAR
Capita PLC;CPI;GB00B23K0M20;XLON
Capman Oyj   -B-;CAPMAN;FI0009009377;XHEL
Carbios SACA;ALCRB;FR0011648716;XPAR
CareTech Holdings PLC;CTH;GB00B0KWHQ09;XLON
Carillion PLC;GB400668;GB0007365546;XLON
Carl Zeiss Meditec AG;DU300278;DE0005313704;XETR
Carmat;ALCAR;FR0010907956;XPAR
Carpinienne de Participations SA;CARP;FR0000064156;XPAR
Carraro SPA;CARR;IT0001046553;MTAA
Carrefour;CA;FR0000120172;XPAR
